time_utc,equity_usd,available_usd,unrealized_pnl_usd,open_positions,gross_exposure_usd,net_exposure_usd,drawdown_pct
2026-06-18T23:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-18T23:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-18T23:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-18T23:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T00:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T00:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T00:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T00:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T01:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T01:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T01:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T01:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T02:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T02:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T02:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T02:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T03:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T03:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T03:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T03:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T04:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T04:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T04:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T04:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T05:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T05:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T05:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T05:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T06:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T06:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T06:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T06:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T07:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T07:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T07:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T07:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T08:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T08:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T08:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T08:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T09:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T09:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T09:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T09:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T10:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T10:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T10:44:59.0000000Z,10000,10000,0,0,0,0,0
